 Architecture of the World Wide Web                                                          , 2003-03-26 , http://www.w3.org/TR/2003/WD-webarch-20030326/                         , WD         
 Asset Description Metadata Schema (ADMS)                                                                     , 2013-05-28 , http://www.w3.org/TR/2013/NOTE-vocab-adms-20130528/                              , NOTE             
 Asset Description Metadata Schema (ADMS)                                                                     , 2013-08-01 , http://www.w3.org/TR/2013/NOTE-vocab-adms-20130801/                              , NOTE             
 Assigning Media Types to Binary Data in XML                                                        , 2004-06-08 , http://www.w3.org/TR/2004/WD-xml-media-types-20040608               , WD       
 Assigning Media Types to Binary Data in XML                                                        , 2004-11-02 , http://www.w3.org/TR/2004/WD-xml-media-types-20041102               , LastCall 
 Assigning Media Types to Binary Data in XML                                                        , 2004-11-02 , http://www.w3.org/TR/2004/WD-xml-media-types-20041102               , WD       
 Associating Schemas with XML documents 1.0 (First Edition)                                            , 2010-04-15 , http://www.w3.org/TR/2010/NOTE-xml-model-20100415/                       , NOTE             
 Associating Schemas with XML documents 1.0 (Second Edition)                                           , 2011-08-11 , http://www.w3.org/TR/2011/NOTE-xml-model-20110811/                       , NOTE             
 Associating Schemas with XML documents 1.0 (Third Edition)                                                   , 2012-10-09 , http://www.w3.org/TR/2012/NOTE-xml-model-20121009/                               , NOTE             
 Associating Style Sheets with XML documents 1.0 (Second Edition)                                      , 2010-09-09 , http://www.w3.org/TR/2010/PER-xml-stylesheet-20100909                    , PER              
 Associating Style Sheets with XML documents 1.0 (Second Edition)                                      , 2010-10-28 , http://www.w3.org/TR/2010/REC-xml-stylesheet-20101028                    , REC              
 Audio Output Devices API                                                                                     , 2015-02-10 , http://www.w3.org/TR/2015/WD-audio-output-20150210/                              , WD               
 Audio Processing API                                                                                         , 2011-12-15 , http://www.w3.org/TR/2011/WD-audioproc-20111215/                                 , WD               
 Authoring Applications for the Multimodal Architecture                                                , 2008-07-02 , http://www.w3.org/TR/2008/NOTE-mmi-auth-20080702/                      , NOTE             
 Authoring Challenges for Device Independence                                     , 2003-09-01 , http://www.w3.org/TR/2003/NOTE-acdi-20030901/                    , NOTE         
 Authoring Challenges for Device Independence                                                , 2002-10-18 , http://www.w3.org/TR/2002/WD-acdi-20021018/                            , WD         
 Authoring HTML: Handling Right-to-left Scripts                                                        , 2009-09-08 , http://www.w3.org/TR/2009/NOTE-i18n-html-tech-bidi-20090908/             , NOTE             
 Authoring HTML: Handling Right-to-left Scripts                                                               , 2014-06-03 , http://www.w3.org/TR/2014/NOTE-i18n-html-tech-bidi-20140603/                     , NOTE             
 Authoring HTML: Language declarations                                                                        , 2014-06-03 , http://www.w3.org/TR/2014/NOTE-i18n-html-tech-lang-20140603/                     , NOTE             
 Authoring Techniques for Device Independence                                     , 2003-11-06 , http://www.w3.org/TR/2003/WD-di-atdi-20031106/                   , WD           
 Authoring Techniques for Device Independence                                                       , 2004-02-18 , http://www.w3.org/TR/2004/NOTE-di-atdi-20040218/            , NOTE     
 Authoring Techniques for XHTML & HTML Internationalization 1.0                   , 2003-10-09 , http://www.w3.org/TR/2003/WD-i18n-html-tech-20031009/            , WD           
 Authoring Techniques for XHTML & HTML Internationalization: Characters and Encodings 1.0           , 2004-05-09 , http://www.w3.org/TR/2004/WD-i18n-html-tech-char-20040509/  , WD       
 Authoring Techniques for XHTML & HTML Internationalization: Characters and Encodings 1.0                     , 2015-01-27 , http://www.w3.org/TR/2015/NOTE-i18n-html-tech-char-20150127/                     , NOTE             
 Authoring Techniques for XHTML & HTML Internationalization: Characters and Encodings 1.0                     , 2015-01-27 , http://www.w3.org/TR/2015/NOTE-i18n-html-tech-char-20150127/                     , Retired          
 Authoring Techniques for XHTML & HTML Internationalization: Handling Bidirectional Text 1.0        , 2004-05-09 , http://www.w3.org/TR/2004/WD-i18n-html-tech-bidi-20040509/  , WD       
 Authoring Techniques for XHTML & HTML Internationalization: Specifying the language of content 1.0 , 2004-05-09 , http://www.w3.org/TR/2004/WD-i18n-html-tech-lang-20040509/  , WD       
 Authoring Techniques for XHTML & HTML Internationalization: Specifying the language of content 1.0 , 2004-10-15 , http://www.w3.org/TR/2004/WD-i18n-html-tech-lang-20041015/          , WD       
 Authoring Tool Accessibility Guidelines (ATAG) 2.0                                                    , 2009-02-17 , http://www.w3.org/TR/2009/WD-ATAG20-20090217/                          , WD               
